Exchange,Base,Target,Last,Volume,Trust Score,USD Price
WhiteBIT,SNX,BTC,6.522e-06,48139.3,green,85829
Binance,TRB,BTC,0.000232,1360.296,green,85973
KuCoin,ERG,BTC,6.93e-06,0.0,green,86042
Binance,EIGEN,BTC,6.32e-06,24536.3,green,85952
KuCoin,XCN,BTC,6.267e-08,0.0,green,86042
Gate,OMG,BTC,1.0592e-06,83031.135,green,85970
Binance,S,BTC,1.21e-06,238421.7,green,85952
KuCoin,EWT,BTC,8.07e-06,0.0,green,86042
CoinEx,CET,BTC,5.159e-07,160520.19066165,green,85874
HTX,DOGE,BTC,1.6935e-06,89540.22,green,85962
CoinEx,XAUT,BTC,0.04703319,0.86234932,green,85866
Nonkyc.io,XMR,BTC,0.004407,66.6024,green,86009
CoinEx,ZEPH,BTC,1.17054e-05,6186.92480595,green,85954
Luno,LTC,XBT,0.00097,34.61,green,86056
Binance,COMP,BTC,0.000332,580.508,green,85973
CoinEx,ETC,BTC,0.00015779,1513.48496856,green,85926
BitMart,DMD,BTC,3.1e-05,6612.92,green,86044
WhiteBIT,KAVA,BTC,1.321e-06,109537.6,green,85829
Binance,SSV,BTC,4.368e-05,5726.18,green,85952
Binance,YGG,BTC,1.02e-06,202177.9,green,85952
WhiteBIT,IMX,BTC,3.54e-06,69244.4,green,85829
Binance,SCR,BTC,1.09e-06,192250.6,green,85952
P2B,VRO,BTC,0.001501,157.58,green,85971
CoinEx,RVN,BTC,9.2285e-08,2460122.8,green,85926
Coinbase Exchange,CRV,BTC,4.5e-06,126589.5,green,86101
CoinEx,BLD,BTC,8.9397e-08,834777.56,green,85954
Binance,A,BTC,2.4e-06,71153.6,green,85978
CoinEx,TON,BTC,1.702e-05,3655.62493146,green,86127
Upbit,VAL,BTC,7.01e-06,100601.72599341,green,86166
CoinEx,CLORE,BTC,7.6103e-08,862325.43,green,85954
Binance,MOVR,BTC,3.48e-05,4821.884,green,85978
CoinEx,DASH,BTC,0.00064819,289.3926746,green,85874
MEXC,DMD,BTC,3.11e-05,4518.34,green,86068
CoinEx,GALA,BTC,8.5463e-08,1978885.66,green,86127
P2B,DMD,BTC,2.984e-05,1045.41,green,85978
CoinEx,UNI,BTC,7.167e-05,882.24888116,green,85874
CoinEx,KAS,BTC,4.758e-07,183823.60878822,green,85869
KuCoin,ELA,BTC,1.467e-05,0.0,green,86042
KuCoin,REQ,BTC,1.265e-06,0.0,green,86042
CoinEx,BSV,BTC,0.00023458,476.5182783,green,85926
Binance,IO,BTC,2.59e-06,23587.15,green,85978
CoinEx,XDC,BTC,6.089e-07,86981.3929081,green,86127
Binance,SANTOS,BTC,2.1e-05,3519.36,green,85952
CoinEx,ELF,BTC,1.1429e-06,84141.99730699,green,86127
CoinEx,WAXP,BTC,1.10816e-07,919552.45,green,86036
CoinEx,TAO,BTC,0.00327149,27.10555725,green,85954
MEXC,OMG,BTC,1.0537e-06,123307.08,green,85522
CoinEx,XVG,BTC,9.3404e-08,1240737.29,green,85926
CoinEx,ARRR,BTC,4.2709e-06,16012.10806692,green,85874
CoinEx,NEAR,BTC,2.1325e-05,5290.5699221,green,86036
CoinEx,XEM,BTC,1.2541e-08,5953476.26,green,85874
CoinEx,NMC,BTC,1.00948e-05,8934.81582696,green,85874
CoinEx,SAGA,BTC,9.948e-07,86326.16246041,green,85954
CoinEx,KSM,BTC,9.753e-05,861.5816415,green,85874
CoinEx,CFX,BTC,9.238e-07,87942.88116571,green,85874
CoinEx,IOTX,BTC,1.04955e-07,869430.5,green,86036
CoinEx,NEXO,BTC,1.085e-05,8887.50796929,green,86036
Dex-Trade,THETA,BTC,4.07e-06,23021.0,green,86042
Binance,RARE,BTC,2.9e-07,931271.9,green,85952
CoinEx,METIS,BTC,8.277e-05,862.13959119,green,86127
CoinEx,QNT,BTC,0.00089059,85.85076054,green,86036
CoinEx,CSPR,BTC,6.8952e-08,864020.41,green,86036
CoinEx,BEAM,BTC,3.704e-07,94385.12401824,green,85874
CoinEx,LSK,BTC,2.063e-06,18676.34972082,green,85874
CoinEx,INJ,BTC,6.324e-05,1247.38144998,green,85954
