Exchange,Base,Target,Last,Volume,Trust Score,USD Price
BYDFi,BTC,USDT,86119.46,31019.8724,green,86073
Binance,BTC,USDT,86177.56,21301.7065,green,86169
KuCoin,BTC,USDT,86113.5,0.0,green,86067
Crypto.com Exchange,BTC,USD,86084.68,13375.948,green,86085
Gate,BTC,USDT,86104.4,11850.235907,green,86058
LBank,BTC,USDT,86100.74,11169.8597,green,86055
BitDelta,BTC,USDT,86101.78,10507.82936,green,86056
Biconomy.com,BTC,USDT,86094.04,10180.62714,green,86048
Bybit,BTC,USDT,86134.3,10055.903958,green,86088
DigiFinex,BTC,USDT,86106.91,9348.783202,green,86055
Binance,BTC,FDUSD,86407.5,17566.89054,green,86029
Coinbase Exchange,BTC,USD,86051.08,10134.3149811,green,86051
MEXC,BTC,USDT,86107.4,12004.71939816,green,86061
Tapbit,BTC,USDT,86105.43,9516.7893,green,86059
Hibt,BTC,USDT,86123.5,7554.884833799991,green,86077
Bitget,BTC,USDT,86109.96,7290.909499,green,86064
Bullish,BTC,USDC,86077.7294,7179.00458671,green,86043
Crypto.com Exchange,BTC,USDT,86102.82,7240.779,green,86082
XT.COM,BTC,USDT,86128.39,6371.96572,green,86082
OKX,BTC,USDT,86112.2,6676.6551003,green,86086
BingX,BTC,USDT,86105.44,4826.412292,green,86059
AscendEX (BitMax),BTC,USDT,86111.74,6640.44717,green,86000
Zoomex,BTC,USDT,86128.2,4019.888922,green,86082
Bitrue,BTC,USDT,86094.05,3879.27978,green,86048
Deepcoin,BTC,USDT,86102.8,4909.18020311,green,86057
P2B,BTC,USDT,86102.86,5107.1083,green,86103
Bitunix,BTC,USDT,86101.01,2838.26951,green,86055
CoinW,BTC,USDT,86127.87,31695.9212,green,86082
Bitstamp by Robinhood,BTC,USD,86135.0,3126.41173937,green,86135
Kraken,XBT,USD,86090.6,2240.9155932,green,86091
P2B,BTC,USD,86102.86,4876.191605,green,86103
KCEX,BTC,USDT,86102.86,21067.44718,green,86051
HTX,BTC,USDT,86116.67,1802.894409125356,green,86070
LBank,BTC,USDC,86079.23,1814.2503,green,86029
Phemex,BTC,USDT,86042.82,1722.494708,green,85997
Coinstore,BTC,USDT,86077.7,18279.690388,green,86008
Tapbit,BTC,USDC,86071.04,1605.01359,green,86045
Bybit,BTC,USDC,86112.6,1591.395161,green,86087
BTSE,BTC,USDT,86105.24821305198,1676.19828944679,green,86059
WEEX,BTC,USDT,86123.6,14913.158221,green,86070
BitMart,BTC,USDT,86102.85,23384.22326,green,86056
LATOKEN,BTC,USDT,85972.6,1844.847778647526,green,85931
BigONE,BTC,USDT,86160.05,2441.869328,green,86114
BloFin,BTC,USDT,86166.57,1655.59189,green,86120
KuCoin,BTC,USDC,86086.5,0.0,green,86061
BVOX,BTC,USDT,86105.44,9072.63764,green,86059
Biconomy.com,BTC,USDC,86085.29,1109.15638,green,86059
GroveX,BTC,USDT,85960.31,10134.326188,green,85914
Bullish,BTC,USDT,86144.2499947,1000.72832577,green,86093
Bullish,BTC,USD,86049.75,1010.37144108,green,86050
Bit2Me,BTC,EUR,74641.6,846.1346018510001,green,86060
Bit2Me,BTC,USDC,86086.69,734.2740372000001,green,86061
Kraken,XBT,EUR,74664.5,863.59359418,green,86087
Ourbit,BTC,USDT,86102.85,7029.046721,green,86057
BYDFi,BTC,USDC,86082.32,930.5483,green,86056
DigiFinex,BTC,USDC,86086.13,407.6128,green,86060
OKX,BTC,USD,86087.8,542.79501747,green,86088
Bitvavo,BTC,EUR,74650.0,923.83116085,green,86070
HashKey Exchange,BTC,USD,86088.03,454.56835,green,86088
Tothemoon,BTC,USD,86086.69,982.5679040132476,green,86087
CoinUp.io,BTC,USDT,86123.5,65769.76,green,86077
BingX,BTC,USDC,86086.0,380.245913,green,86060
Coinbase Exchange,BTC,EUR,74650.15,722.82618344,green,86070
